Unnamed: 0,label,text
,Chicken pox,"I have been experiencing  fatigue, itching,  loss_of_appetite."
,Psoriasis,"I have been experiencing  skin_peeling,  skin_peeling, Psoriasis."
,Chicken pox,"I have been experiencing  fatigue,  high_fever,  headache."
,Chicken pox,"I have been experiencing  skin_rash,  red_spots_over_body,  skin_rash."
,Jaundice,"I have been experiencing  high_fever, itching,  yellowish_skin."
,Pneumonia,"I have been experiencing  fast_heart_rate,  sweating,  fast_heart_rate."
,Common Cold,"I have been experiencing  throat_irritation,  redness_of_eyes,  redness_of_eyes."
,Fungal infection,"I have been experiencing  nodal_skin_eruptions, itching,  skin_rash."
,Common Cold,"I have been experiencing  sinus_pressure,  loss_of_smell, Common Cold."
,Common Cold,"I have been experiencing  cough,  sinus_pressure, Common Cold."
,Impetigo,"I have been experiencing  skin_rash,  yellow_crust_ooze,  high_fever."
,Chicken pox,"I have been experiencing  malaise, Chicken pox,  headache."
,Arthritis,"I have been experiencing  stiff_neck,  muscle_weakness,  painful_walking."
,Typhoid,"I have been experiencing  high_fever,  diarrhoea,  headache."
,Impetigo,"I have been experiencing  blister,  high_fever,  blister."
,Fungal infection,"I have been experiencing  nodal_skin_eruptions,  skin_rash, Fungal infection."
,Migraine,"I have been experiencing  irritability,  depression,  blurred_and_distorted_vision."
,Dengue,"I have been experiencing  muscle_pain,  skin_rash,  pain_behind_the_eyes."
,Typhoid,"I have been experiencing  high_fever, Typhoid,  abdominal_pain."
,Migraine,"I have been experiencing  depression,  visual_disturbances, Migraine."
,Common Cold,"I have been experiencing  continuous_sneezing,  runny_nose,  chest_pain."
,Bronchial Asthma,"I have been experiencing  family_history,  fatigue,  cough."
,Psoriasis,"I have been experiencing  skin_peeling,  small_dents_in_nails,  joint_pain."
,Typhoid,"I have been experiencing  belly_pain,  toxic_look_(typhos), Typhoid."
,Cervical spondylosis,"I have been experiencing  weakness_in_limbs,  neck_pain,  dizziness."
,Bronchial Asthma,"I have been experiencing  breathlessness,  cough,  breathlessness."
,Psoriasis,"I have been experiencing  joint_pain,  skin_rash,  small_dents_in_nails."
,Dengue,"I have been experiencing  skin_rash,  muscle_pain,  chills."
,Dengue,"I have been experiencing Dengue,  back_pain,  skin_rash."
,Cervical spondylosis,"I have been experiencing  weakness_in_limbs,  neck_pain,  back_pain."
,Bronchial Asthma,"I have been experiencing Bronchial Asthma,  family_history,  cough."
,Typhoid,"I have been experiencing  headache,  vomiting,  diarrhoea."
,Common Cold,"I have been experiencing  sinus_pressure,  fatigue,  runny_nose."
,Cervical spondylosis,"I have been experiencing  dizziness,  back_pain,  dizziness."
,Bronchial Asthma,"I have been experiencing  breathlessness,  breathlessness,  fatigue."
,Acne,"I have been experiencing  blackheads,  blackheads,  scurring."
,Malaria,"I have been experiencing  muscle_pain,  diarrhoea,  sweating."
,Impetigo,"I have been experiencing  red_sore_around_nose, Impetigo,  high_fever."
,Acne,"I have been experiencing  blackheads, Acne,  skin_rash."
,Migraine,"I have been experiencing  blurred_and_distorted_vision,  depression,  indigestion."
,Pneumonia,"I have been experiencing  breathlessness,  chest_pain,  sweating."
,Fungal infection,"I have been experiencing  skin_rash,  nodal_skin_eruptions, Fungal infection."
,Migraine,"I have been experiencing  excessive_hunger,  stiff_neck,  indigestion."
,Pneumonia,"I have been experiencing  chest_pain,  breathlessness,  chest_pain."
,Acne,"I have been experiencing  blackheads,  blackheads, Acne."
,Cervical spondylosis,"I have been experiencing  loss_of_balance, Cervical spondylosis, Cervical spondylosis."
,Impetigo,"I have been experiencing  blister,  skin_rash, Impetigo."
,Chicken pox,"I have been experiencing  high_fever,  skin_rash,  swelled_lymph_nodes."
,Typhoid,"I have been experiencing  vomiting,  abdominal_pain,  belly_pain."
,Common Cold,"I have been experiencing  chills,  malaise,  redness_of_eyes."
,Cervical spondylosis,"I have been experiencing  back_pain,  dizziness,  dizziness."
,Malaria,"I have been experiencing  diarrhoea,  vomiting,  headache."
,Bronchial Asthma,"I have been experiencing  high_fever,  family_history, Bronchial Asthma."
,Arthritis,"I have been experiencing  muscle_weakness,  stiff_neck, Arthritis."
,Typhoid,"I have been experiencing  nausea,  diarrhoea,  fatigue."
,Jaundice,"I have been experiencing Jaundice,  weight_loss,  dark_urine."
,Chicken pox,"I have been experiencing  skin_rash, Chicken pox,  mild_fever."
,Fungal infection,"I have been experiencing itching, itching,  skin_rash."
,Migraine,"I have been experiencing  headache,  visual_disturbances,  irritability."
,Malaria,"I have been experiencing  headache,  vomiting,  headache."
,Migraine,"I have been experiencing  irritability,  indigestion,  indigestion."
,Dengue,"I have been experiencing  red_spots_over_body,  chills,  loss_of_appetite."
,Impetigo,"I have been experiencing  blister,  high_fever,  high_fever."
,Psoriasis,"I have been experiencing Psoriasis,  silver_like_dusting,  skin_peeling."
,Jaundice,"I have been experiencing  vomiting, itching,  vomiting."
,Impetigo,"I have been experiencing  red_sore_around_nose,  red_sore_around_nose, Impetigo."
,Fungal infection,"I have been experiencing  skin_rash, itching,  skin_rash."
,Bronchial Asthma,"I have been experiencing  family_history,  cough,  high_fever."
,Impetigo,"I have been experiencing Impetigo,  high_fever,  red_sore_around_nose."
,Pneumonia,"I have been experiencing  breathlessness,  chest_pain,  malaise."
,Common Cold,"I have been experiencing  fatigue,  congestion,  fatigue."
,Typhoid,"I have been experiencing  chills,  diarrhoea,  constipation."
,Common Cold,"I have been experiencing  chills,  congestion,  congestion."
,Psoriasis,"I have been experiencing  silver_like_dusting,  skin_peeling,  skin_peeling."
,Bronchial Asthma,"I have been experiencing  cough,  fatigue,  fatigue."
,Fungal infection,"I have been experiencing itching,  nodal_skin_eruptions,  nodal_skin_eruptions."
,Typhoid,"I have been experiencing  constipation,  headache,  abdominal_pain."
,Psoriasis,"I have been experiencing  inflammatory_nails,  joint_pain,  silver_like_dusting."
,Cervical spondylosis,"I have been experiencing  dizziness, Cervical spondylosis, Cervical spondylosis."
,Bronchial Asthma,"I have been experiencing  mucoid_sputum,  cough,  breathlessness."
,Psoriasis,"I have been experiencing  skin_rash,  silver_like_dusting,  skin_rash."
,Cervical spondylosis,"I have been experiencing  dizziness,  weakness_in_limbs, Cervical spondylosis."
,Typhoid,"I have been experiencing  toxic_look_(typhos),  chills,  diarrhoea."
,Bronchial Asthma,"I have been experiencing  cough, Bronchial Asthma,  fatigue."
,Bronchial Asthma,"I have been experiencing  high_fever,  breathlessness,  breathlessness."
,Bronchial Asthma,"I have been experiencing Bronchial Asthma, Bronchial Asthma,  family_history."
,Dengue,"I have been experiencing  malaise,  joint_pain,  nausea."
,Migraine,"I have been experiencing  stiff_neck,  indigestion,  headache."
,Migraine,"I have been experiencing Migraine,  blurred_and_distorted_vision,  acidity."
,Cervical spondylosis,"I have been experiencing  dizziness,  back_pain,  weakness_in_limbs."
,Psoriasis,"I have been experiencing  skin_peeling,  skin_peeling,  skin_rash."
,Fungal infection,"I have been experiencing itching, itching,  dischromic _patches."
,Psoriasis,"I have been experiencing  joint_pain,  small_dents_in_nails,  joint_pain."
,Typhoid,"I have been experiencing  abdominal_pain,  headache,  toxic_look_(typhos)."
,Migraine,"I have been experiencing  acidity,  depression,  acidity."
,Impetigo,"I have been experiencing  skin_rash,  red_sore_around_nose, Impetigo."
,Arthritis,"I have been experiencing  stiff_neck,  movement_stiffness,  muscle_weakness."
,Impetigo,"I have been experiencing  blister,  blister, Impetigo."
,Pneumonia,"I have been experiencing  sweating,  fast_heart_rate,  cough."
,Bronchial Asthma,"I have been experiencing Bronchial Asthma,  family_history,  family_history."
,Pneumonia,"I have been experiencing  breathlessness,  rusty_sputum,  fast_heart_rate."
,Pneumonia,"I have been experiencing  malaise,  phlegm,  chills."
,Impetigo,"I have been experiencing  skin_rash,  skin_rash,  red_sore_around_nose."
,Impetigo,"I have been experiencing  blister,  high_fever,  high_fever."
,Migraine,"I have been experiencing  irritability,  indigestion, Migraine."
,Migraine,"I have been experiencing  blurred_and_distorted_vision, Migraine,  excessive_hunger."
,Impetigo,"I have been experiencing  skin_rash,  high_fever,  high_fever."
,Migraine,"I have been experiencing  visual_disturbances,  irritability,  acidity."
,Migraine,"I have been experiencing  excessive_hunger,  acidity,  headache."
